StudyID	Age-Min	Age-Max	MALE	FEMALE	Unknown	Other Gender	White/ Caucasian	European	Asian Korean	Asian	Black / African 	Black or African American 	African	African Barbedian	Indian/Native American	Native Hawaiian or Pacific Islander	American Indian or Alaska Native	Multiple Races	Hispanic	Non Hispanic	Other/ Unknown	Missing	Ashkenazi Jewish	French Canadian 	Polish 	Italian	"England,Ireland (2)"	Ireland 	Lebanese	"Irish, Italian"	"Germany [non Ashkenazi jewish],England ,Ireland "	Han_Chinese	Puerto Rican	Hawaiian	Mexican	British	Swiss	Spaniard	Portugese	French	Finnish	German	Russian	Ukrainian	Romanian	Hungarian	Czehs	Jewish	Israeli	Canadian	Dutch Canadian	American (USA)	European American	Mexican American	Peruvian	venezuelan	Cuban	Indian	Japanese	Chinese	Filipino	Middle Eastern	Arabic	Omani Arabic	Pakistani	Turkish	Amhara	Hamer
phs000390.v1.p1	18	86	408	1209			1																																																													
phs000392.v1.p1			1																																																																	
phs000393.v1.p1																																																																				
phs000394.v1.p1	25	90	633	344			1			1		1							1																																																	
phs000395.v1.p1	35	80					1																																																													
phs000396.v1.p1																																																																				
phs000398.v1.p1			234	361								1																																									1															
phs000400.v1.p1			20	5								1																																									1															
phs000401.v1.p1	20	64	153	54																																																	1															
phs000402.v1.p1	26	90	125	79								1																																																								
phs000404.v1.p1	25	53	631	896			1					1																																																								
phs000406.v1.p1			31	26				1		1			1																						1																																	
phs000407.v1.p1																																																																				
phs000408.v1.p1	19	72	174	788			1					1																																																								
phs000409.v1.p1																																																																				
phs000413.v1.p1																																																																				
phs000414.v1.p1																																																																				
phs000417.v2.p1	0	84	177	93			1			1		1							1																																																	
phs000418.v1.p1	58	87	7	1			1																																																													
phs000274.v1.p1	0	90	742	1558																																																																
phs000275.v1.p1			235	689																																																																
phs000276.v1.p1			2592	2810			1																																																													
phs000279.v1.p1			127	92								1																																									1															
phs000280.v1.p1	44	64	8459	6887			1					1																																																								
phs000284.v1.p1	1	90	1681	1832			1			1		1					1	1	1	1																																																
phs000285.v2.p2	17	34	1602	2020			1					1								1																																																
phs000286.v2.p1	21	90	942	1106																																																																
phs000287.v2.p1	65	90	2085	2677			1					1				1	1																																																			
phs000288.v1.p1	1	52	562	502					1																																								1									1					1	1	1	1		
phs000289.v2.p1	18	90	1275	1322			1			1		1				1	1		1																																																	
phs000290.v1.p1	18	88	16	80			1																																																													
phs000291.v2.p1			214	123																																																	1															
phs000292.v1.p1	15	50	1058	804			1			1		1					1		1	1																																							1	1								
phs000294.v1.p1	16	90	4611	1414																																																																
phs000295.v1.p1																																																																				
phs000297.v1.p1	13	90	2286	2986			1			1		1				1	1																																																			
phs000298.v1.p1	1	89	1585	856			1			1		1					1		1																																																	
phs000299.v1.p1																																																																				
phs000302.v1.p1	33	69	200	150			1			1		1					1																																																			
phs000303.v1.p1	35	84	980	1000																																																																
phs000304.v1.p1	14	36	439	740			1		1	1		1							1	1																																						1			1							
phs000305.v1.p1	42	79																																																																		
phs000306.v3.p1	45	200	4469																1																																								1									
phs000308.v1.p1	40	200	401	453			1																																																													
phs000309.v2.p2	17	26	903	1023			1																																																													
phs000310.v1.p1	51	73	28																																																																	
phs000311.v1.p1	51	70	8																																																																	
phs000313.v3.p2	14	90	764	1123																																																																
phs000314.v1.p1			878	838			1			1		1							1	1																																																
phs000328.v1.p1																																																																				
phs000329.v1.p1																																																																				
phs000330.v1.p1	57	70	7																																																																	
phs000331.v1.p1	1	90	424	405			1			1		1					1		1																																																	
phs000333.v1.p1	22	89	1032	1590								1																																									1	1														
phs000335.v2.p2	34	62	2769	1622			1																																																													
phs000336.v1.p1	0	200	9338	2179																																																																
phs000338.v1.p1																																																																				
phs000339.v1.p1			46	88																				1	1	1		1			1					1																																
phs000340.v2.p1	1	22																																																																		
phs000341.v1.p1																																																																				
phs000343.v1.p1	35	89	1379	785			1					1																																																								
phs000344.v1.p1	23	90	301	595			1													1																																																
phs000345.v1.p1	4	90	545	483			1																																									1																				
phs000346.v1.p1	0	200	7216	1430																																																																
phs000348.v1.p1	36	72	26	12			1			1		1																																																								
phs000349.v1.p1	15	34	848	220			1					1																																																								
phs000351.v1.p1			3506	1229																																																																
phs000352.v1.p1	0	6	21	25			1					1																																																								
phs000353.v1.p1			398	445			1					1							1																																																	
phs000552.v1.p1	28	86	12	53																																																																
phs000235.v5.p1						 		 																																																												
phs000522.v1.p1				 																																																																
phs000567.v1.p1	17	88	13	13																							 																																									
phs000568.v1.p1	29	81	8	9			6																11																																													
phs000487.v1.p1						 																																																														
phs000524.v1.p1	21	75	1986	1612			1558					1501								408		131																																														
phs000547.v1.p1	19	85	0	3596																																																																
phs000383.v1.p1	25	74	0	3766								2073	1363	330																																																						
phs000565.v1.p1 			121	71			192																																																													
phs000516.v1.p1	40	81	15	9																																																																
phs000275.v1.p1			235	689																																																																
phs000297.v1.p1	13	200	306	417			3928			21		1100				3	7						208	14																																												
phs000339.v1.p1	2	69	46	88																			12			6	3	3	2	2	2	2	2																																			
phs000359.v1.p1																																																																				
phs000384.v1.p1	40	63	2	2																																																																
phs000391.v1.p1	20	83	332	334																																																																
phs000395.v1.p1	35	80					982																																																													
phs000405.v1.p1			6	7			13																																																													
phs000431.v1.p1			1258	838																														2096																																		
phs000433.v1.p1	45	200										3949	400									1																																														
phs000434.v1.p1			4	4			8																																																													
phs000439.v1.p1			1262	626			1750			6		113			1					14		3	1																																													
phs000445.v1.p1			17	3				17				1								2																																																
phs000448.v1.p1	18	200	2164	932																					3096																																											
phs000451.v1.p1																																																																				
phs000474.v1.p1			76	70	1																																																															
phs000476.v1.p1			10	10																																																																
phs000482.v1.p1			350	267																																																																
phs000488.v1.p1	36	87						190		10			2										2																																													
phs000490.v1.p1	0	21	573	423	4			515		31		394					1			58				1																																												
phs000490.v1.p1			468	531	1			173		22		756				1		31		7		48																																														
phs000490.v1.p1	2	36	1443	1505	4			1672				843						220		41		77		45																																												
phs000490.v1.p1	2	22	550	450	4			517		13		453					1					16																																														
phs000490.v1.p1	2	25	700	300	1			462		7		389						100		19		15		3																																												
phs000490.v1.p1	2	25	526	474				351		11		513						67		19		14																																														
phs000494.v1.p1			2543	2019			3746			41		425					7	51		93		37	244	639																																												
phs000495.v1.p1	0	22	599	425			727			21	82				4					124	854	167	16	7																																												
phs000500.v1.p1																																																																				
phs000501.v1.p1																																																																				
phs000502.v1.p1																																																																				
phs000504.v1.p1	0.083	16	50	34	6		32			1	2													55																																												
phs000505.v1.p1																																																																				
phs000506.v1.p1																																																																				
phs000507.v1.p1	45	200	427	773								1200																																																								
phs000508.v1.p1	0.25	72	19	16																																																																
phs000511.v1.p1			37	11																																																																
phs000512.v1.p1			59	38																																																																
phs000513.v1.p1																																																																				
phs000514.v1.p1			15	4																																																																
phs000518.v1.p1	8	72	7	17			17		2						3					2																																																
phs000523.v1.p1	36	69	0	1799																																																																
phs000535.v1.p1																																																																				
phs000536.v1.p1	17	200	22	12																																																																
phs000537.v1.p1	1	11	2	2																																																																
phs000538.v1.p1	38	89	2	4			6																																																													
phs000539.v1.p1	6	14	3	5			8																																																													
phs000540.v1.p1	16	72	5	3			8																																																													
phs000542.v1.p1	6	17	2	2			4																																																													
phs000550.v1.p1																																																																				
